,subgroup,modeldate,samplesize,adjusted_approve,adjusted_disapprove,createddate,M_Month,M_Day,M_Year,C_Month,C_Day,C_Year
95,All polls,9/10/2019,11512.0,40.57358,53.00161,2/20/2017,9,10,2019,2,20,2017
115,All polls,9/10/2019,10639.0,41.57358,53.00161,2/24/2017,9,10,2019,2,24,2017
140,All polls,9/10/2019,12273.0,42.57358,52.00161,11/28/2018,9,10,2019,11,28,2018
169,All polls,9/10/2019,12257.0,44.57358,51.00161,3/11/2017,9,10,2019,3,11,2017
198,All polls,9/10/2019,12133.0,43.57358,52.00161,3/17/2017,9,10,2019,3,17,2017
225,All polls,9/10/2019,12306.0,39.57358,54.00161,3/24/2017,9,10,2019,3,24,2017
252,All polls,9/10/2019,11890.0,41.57358,55.00161,3/30/2017,9,10,2019,3,30,2017
277,All polls,9/10/2019,14518.0,39.57358,55.00161,4/7/2017,9,10,2019,4,7,2017
306,All polls,9/10/2019,20020.0,41.57358,52.00161,4/14/2017,9,10,2019,4,14,2017
333,All polls,9/10/2019,15855.0,42.57358,53.00161,4/21/2017,9,10,2019,4,21,2017
363,All polls,9/10/2019,15235.0,43.57358,51.00161,4/28/2017,9,10,2019,4,28,2017
387,All polls,9/10/2019,17300.0,42.57358,51.00161,5/6/2017,9,10,2019,5,6,2017
414,All polls,9/10/2019,10468.0,40.57358,54.00161,5/12/2017,9,10,2019,5,12,2017
437,All polls,9/10/2019,10220.0,37.57358,57.00161,5/19/2017,9,10,2019,5,19,2017
471,All polls,9/10/2019,11241.0,39.57358,55.00161,5/26/2017,9,10,2019,5,26,2017
494,All polls,9/10/2019,11287.0,38.57358,56.00161,6/2/2017,9,10,2019,6,2,2017
521,All polls,9/10/2019,12770.0,38.57358,56.00161,6/9/2017,9,10,2019,6,9,2017
547,All polls,9/10/2019,17092.0,40.57358,54.00161,6/16/2017,9,10,2019,6,16,2017
575,All polls,9/10/2019,13657.0,40.57358,53.00161,6/23/2017,9,10,2019,6,23,2017
607,All polls,9/10/2019,10945.0,38.57358,55.00161,6/30/2017,9,10,2019,6,30,2017
627,All polls,9/10/2019,12338.0,40.57358,54.00161,7/7/2017,9,10,2019,7,7,2017
653,All polls,9/10/2019,16514.0,39.57358,55.00161,7/14/2017,9,10,2019,7,14,2017
729,All polls,9/10/2019,12173.0,36.57358,58.00161,8/4/2017,9,10,2019,8,4,2017
756,All polls,9/10/2019,14103.0,38.57358,56.00161,8/11/2017,9,10,2019,8,11,2017
782,All polls,9/10/2019,14805.0,37.57358,57.00161,8/18/2017,9,10,2019,8,18,2017
843,All polls,9/10/2019,10129.0,36.57358,58.00161,8/31/2017,9,10,2019,8,31,2017
846,All polls,9/10/2019,12032.0,37.57358,58.00161,9/1/2017,9,10,2019,9,1,2017
873,All polls,9/10/2019,12032.0,37.57358,56.00161,9/8/2017,9,10,2019,9,8,2017
897,All polls,9/10/2019,16343.0,40.57358,54.00161,9/15/2017,9,10,2019,9,15,2017
963,All polls,9/10/2019,16683.0,37.57358,56.00161,9/29/2017,9,10,2019,9,29,2017
992,All polls,9/10/2019,15120.0,38.57358,56.00161,10/5/2017,9,10,2019,10,5,2017
1017,All polls,9/10/2019,16203.0,38.57358,56.00161,10/12/2017,9,10,2019,10,12,2017
1045,All polls,9/10/2019,14717.0,36.57358,58.00161,10/19/2017,9,10,2019,10,19,2017
1072,All polls,9/10/2019,13572.0,36.57358,58.00161,10/26/2017,9,10,2019,10,26,2017
1107,All polls,9/10/2019,13308.0,38.57358,57.00161,11/2/2017,9,10,2019,11,2,2017
1134,All polls,9/10/2019,19325.0,38.57358,56.00161,11/9/2017,9,10,2019,11,9,2017
1163,All polls,9/10/2019,10611.0,38.57358,56.00161,11/16/2017,9,10,2019,11,16,2017
1213,All polls,9/10/2019,14040.0,36.57358,59.00161,11/30/2017,9,10,2019,11,30,2017
1243,All polls,9/10/2019,16149.0,36.57358,57.00161,12/7/2017,9,10,2019,12,7,2017
1271,All polls,9/10/2019,11427.0,37.57358,57.00161,12/14/2017,9,10,2019,12,14,2017
1301,All polls,9/10/2019,10374.0,36.57358,57.00161,12/22/2017,9,10,2019,12,22,2017
1343,All polls,9/10/2019,12238.0,40.57358,53.00161,1/4/2018,9,10,2019,1,4,2018
1350,All polls,9/10/2019,10509.0,41.57358,53.00161,1/18/2019,9,10,2019,1,18,2019
1353,All polls,9/10/2019,14192.0,47.83699,48.08865,2/28/2018,9,10,2019,2,28,2018
1379,All polls,9/10/2019,13363.0,39.57358,55.00161,1/18/2018,9,10,2019,1,18,2018
1419,All polls,9/10/2019,14166.0,37.57358,57.00161,1/25/2018,9,10,2019,1,25,2018
1438,All polls,9/10/2019,16531.0,41.57358,54.00161,2/1/2018,9,10,2019,2,1,2018
1461,All polls,9/10/2019,18080.0,41.57358,53.00161,2/8/2018,9,10,2019,2,8,2018
1475,All polls,9/10/2019,10255.0,41.57358,52.00161,1/18/2019,9,10,2019,1,18,2019
1486,All polls,9/10/2019,13293.0,40.57358,54.00161,2/15/2018,9,10,2019,2,15,2018
1505,All polls,9/10/2019,14211.0,39.57358,55.00161,2/22/2018,9,10,2019,2,22,2018
1534,All polls,9/10/2019,31777.0,40.57358,54.00161,3/1/2018,9,10,2019,3,1,2018
1557,All polls,9/10/2019,21603.0,39.57358,55.00161,3/8/2018,9,10,2019,3,8,2018
1569,All polls,9/10/2019,10089.0,41.57358,53.00161,1/18/2019,9,10,2019,1,18,2019
1581,All polls,9/10/2019,18255.0,41.57358,53.00161,3/15/2018,9,10,2019,3,15,2018
1604,All polls,9/10/2019,55372.0,40.57358,53.00161,3/23/2018,9,10,2019,3,23,2018
1628,All polls,9/10/2019,14468.0,41.57358,54.00161,3/29/2018,9,10,2019,3,29,2018
1649,All polls,9/10/2019,14018.0,40.57358,54.00161,4/5/2018,9,10,2019,4,5,2018
1660,All polls,9/10/2019,10533.0,40.57358,54.00161,1/18/2019,9,10,2019,1,18,2019
1669,All polls,9/10/2019,16160.0,41.57358,53.00161,4/12/2018,9,10,2019,4,12,2018
1692,All polls,9/10/2019,18398.0,41.57358,53.00161,4/19/2018,9,10,2019,4,19,2018
1738,All polls,9/10/2019,14946.0,42.57358,52.00161,5/3/2018,9,10,2019,5,3,2018
1782,All polls,9/10/2019,10167.0,41.57358,53.00161,1/18/2019,9,10,2019,1,18,2019
1797,All polls,9/10/2019,20556.0,42.57358,51.00161,5/17/2018,9,10,2019,5,17,2018
1821,All polls,9/10/2019,13793.0,42.57358,52.00161,5/24/2018,9,10,2019,5,24,2018
1852,All polls,9/10/2019,13531.0,42.57358,51.00161,5/31/2018,9,10,2019,5,31,2018
1882,All polls,9/10/2019,29493.0,42.57358,52.00161,6/7/2018,9,10,2019,6,7,2018
1894,All polls,9/10/2019,10077.0,41.57358,52.00161,1/18/2019,9,10,2019,1,18,2019
1911,All polls,9/10/2019,13747.0,42.57358,51.00161,6/14/2018,9,10,2019,6,14,2018
1942,All polls,9/10/2019,11652.0,41.57358,53.00161,6/21/2018,9,10,2019,6,21,2018
1970,All polls,9/10/2019,10304.0,41.57358,53.00161,6/28/2018,9,10,2019,6,28,2018
1999,All polls,9/10/2019,15759.0,43.57358,51.00161,7/5/2018,9,10,2019,7,5,2018
2010,All polls,9/10/2019,52211.0,42.57358,52.00161,11/16/2018,9,10,2019,11,16,2018
2024,All polls,9/10/2019,13972.0,42.57358,52.00161,7/12/2018,9,10,2019,7,12,2018
2049,All polls,9/10/2019,10522.0,41.57358,53.00161,7/19/2018,9,10,2019,7,19,2018
2055,All polls,9/10/2019,15995.0,39.87482,55.15035,1/8/2019,9,10,2019,1,8,2019
2072,All polls,9/10/2019,52211.0,42.57358,52.00161,7/30/2018,9,10,2019,7,30,2018
2110,All polls,9/10/2019,14198.0,41.57358,53.00161,8/2/2018,9,10,2019,8,2,2018
2138,All polls,9/10/2019,17962.0,41.57358,53.00161,8/9/2018,9,10,2019,8,9,2018
2168,All polls,9/10/2019,11023.0,42.57358,51.00161,8/16/2018,9,10,2019,8,16,2018
2193,All polls,9/10/2019,15141.0,41.57358,53.00161,8/23/2018,9,10,2019,8,23,2018
2230,All polls,9/10/2019,14089.0,41.57358,54.00161,8/30/2018,9,10,2019,8,30,2018
2297,All polls,9/10/2019,15408.0,40.57358,54.00161,9/13/2018,9,10,2019,9,13,2018
2321,All polls,9/10/2019,20492.0,41.57358,53.00161,9/20/2018,9,10,2019,9,20,2018
2354,All polls,9/10/2019,10792.0,41.57358,53.00161,9/27/2018,9,10,2019,9,27,2018
2389,All polls,9/10/2019,12953.0,44.57358,50.00161,10/4/2018,9,10,2019,10,4,2018
2395,All polls,9/10/2019,10683.0,39.95527,57.63854,10/15/2018,9,10,2019,10,15,2018
2419,All polls,9/10/2019,10474.0,44.57358,50.00161,10/11/2018,9,10,2019,10,11,2018
2514,All polls,9/10/2019,17797.0,41.57358,53.00161,11/1/2018,9,10,2019,11,1,2018
2551,All polls,9/10/2019,14021.0,42.57358,52.00161,11/8/2018,9,10,2019,11,8,2018
2696,All polls,9/10/2019,10286.0,43.57358,51.00161,1/18/2019,9,10,2019,1,18,2019
2849,All polls,9/10/2019,10447.0,41.57358,54.00161,1/18/2019,9,10,2019,1,18,2019
2904,All polls,9/10/2019,19909.0,40.37482,55.65035,2/14/2019,9,10,2019,2,14,2019
3101,All polls,9/10/2019,13206.0,40.37482,54.65035,4/16/2019,9,10,2019,4,16,2019
3154,All polls,9/10/2019,10046.0,44.57358,50.00161,3/21/2019,9,10,2019,3,21,2019
3444,All polls,9/10/2019,10170.0,41.95527,55.63854,6/19/2019,9,10,2019,6,19,2019
3722,All polls,9/10/2019,13553.0,45.57358,50.00161,7/19/2019,9,10,2019,7,19,2019
4032,Adults,9/10/2019,11512.0,39.65775,53.147290000000005,2/20/2017,9,10,2019,2,20,2017
4045,Adults,9/10/2019,10639.0,40.65775,53.147290000000005,2/24/2017,9,10,2019,2,24,2017
4061,Adults,9/10/2019,12273.0,41.65775,52.147290000000005,11/28/2018,9,10,2019,11,28,2018
4085,Adults,9/10/2019,12257.0,43.65775,51.147290000000005,3/11/2017,9,10,2019,3,11,2017
4103,Adults,9/10/2019,12133.0,42.65775,52.147290000000005,3/17/2017,9,10,2019,3,17,2017
4119,Adults,9/10/2019,12306.0,38.65775,54.147290000000005,3/24/2017,9,10,2019,3,24,2017
4138,Adults,9/10/2019,11890.0,40.65775,55.147290000000005,3/30/2017,9,10,2019,3,30,2017
4161,Adults,9/10/2019,14518.0,38.65775,55.147290000000005,4/7/2017,9,10,2019,4,7,2017
4181,Adults,9/10/2019,20020.0,40.65775,52.147290000000005,4/14/2017,9,10,2019,4,14,2017
4198,Adults,9/10/2019,15855.0,41.65775,53.147290000000005,4/21/2017,9,10,2019,4,21,2017
4222,Adults,9/10/2019,15235.0,42.65775,51.147290000000005,4/28/2017,9,10,2019,4,28,2017
4238,Adults,9/10/2019,17300.0,41.65775,51.147290000000005,5/6/2017,9,10,2019,5,6,2017
4258,Adults,9/10/2019,10468.0,39.65775,54.147290000000005,5/12/2017,9,10,2019,5,12,2017
4274,Adults,9/10/2019,10220.0,36.65775,57.147290000000005,5/19/2017,9,10,2019,5,19,2017
4294,Adults,9/10/2019,11241.0,38.65775,55.147290000000005,5/26/2017,9,10,2019,5,26,2017
4311,Adults,9/10/2019,11287.0,37.65775,56.147290000000005,6/2/2017,9,10,2019,6,2,2017
4328,Adults,9/10/2019,12770.0,37.65775,56.147290000000005,6/9/2017,9,10,2019,6,9,2017
4349,Adults,9/10/2019,17092.0,39.65775,54.147290000000005,6/16/2017,9,10,2019,6,16,2017
4369,Adults,9/10/2019,13657.0,39.65775,53.147290000000005,6/23/2017,9,10,2019,6,23,2017
4392,Adults,9/10/2019,10945.0,37.65775,55.147290000000005,6/30/2017,9,10,2019,6,30,2017
4406,Adults,9/10/2019,12338.0,39.65775,54.147290000000005,7/7/2017,9,10,2019,7,7,2017
4428,Adults,9/10/2019,16514.0,38.65775,55.147290000000005,7/14/2017,9,10,2019,7,14,2017
4482,Adults,9/10/2019,12173.0,35.65775,58.147290000000005,8/4/2017,9,10,2019,8,4,2017
4507,Adults,9/10/2019,14103.0,37.65775,56.147290000000005,8/11/2017,9,10,2019,8,11,2017
4523,Adults,9/10/2019,14805.0,36.65775,57.147290000000005,8/18/2017,9,10,2019,8,18,2017
4564,Adults,9/10/2019,10129.0,35.65775,58.147290000000005,8/31/2017,9,10,2019,8,31,2017
4571,Adults,9/10/2019,12032.0,36.65775,58.147290000000005,9/1/2017,9,10,2019,9,1,2017
4588,Adults,9/10/2019,12032.0,36.65775,56.147290000000005,9/8/2017,9,10,2019,9,8,2017
4604,Adults,9/10/2019,16343.0,39.65775,54.147290000000005,9/15/2017,9,10,2019,9,15,2017
4656,Adults,9/10/2019,16683.0,36.65775,56.147290000000005,9/29/2017,9,10,2019,9,29,2017
4680,Adults,9/10/2019,15120.0,37.65775,56.147290000000005,10/5/2017,9,10,2019,10,5,2017
4697,Adults,9/10/2019,16203.0,37.65775,56.147290000000005,10/12/2017,9,10,2019,10,12,2017
4721,Adults,9/10/2019,14717.0,35.65775,58.147290000000005,10/19/2017,9,10,2019,10,19,2017
4740,Adults,9/10/2019,13572.0,35.65775,58.147290000000005,10/26/2017,9,10,2019,10,26,2017
4767,Adults,9/10/2019,13308.0,37.65775,57.147290000000005,11/2/2017,9,10,2019,11,2,2017
4789,Adults,9/10/2019,19325.0,37.65775,56.147290000000005,11/9/2017,9,10,2019,11,9,2017
4809,Adults,9/10/2019,10611.0,37.65775,56.147290000000005,11/16/2017,9,10,2019,11,16,2017
4847,Adults,9/10/2019,14040.0,35.65775,59.147290000000005,11/30/2017,9,10,2019,11,30,2017
4868,Adults,9/10/2019,16149.0,35.65775,57.147290000000005,12/7/2017,9,10,2019,12,7,2017
4892,Adults,9/10/2019,11427.0,36.65775,57.147290000000005,12/14/2017,9,10,2019,12,14,2017
4913,Adults,9/10/2019,10374.0,35.65775,57.147290000000005,12/22/2017,9,10,2019,12,22,2017
4949,Adults,9/10/2019,12238.0,39.65775,53.147290000000005,1/4/2018,9,10,2019,1,4,2018
4953,Adults,9/10/2019,10509.0,40.65775,53.147290000000005,1/18/2019,9,10,2019,1,18,2019
4956,Adults,9/10/2019,14192.0,47.17181,48.2059,2/28/2018,9,10,2019,2,28,2018
4973,Adults,9/10/2019,13363.0,38.65775,55.147290000000005,1/18/2018,9,10,2019,1,18,2018
4998,Adults,9/10/2019,14166.0,36.65775,57.147290000000005,1/25/2018,9,10,2019,1,25,2018
5009,Adults,9/10/2019,16531.0,40.65775,54.147290000000005,2/1/2018,9,10,2019,2,1,2018
5024,Adults,9/10/2019,18080.0,40.65775,53.147290000000005,2/8/2018,9,10,2019,2,8,2018
5036,Adults,9/10/2019,10255.0,40.65775,52.147290000000005,1/18/2019,9,10,2019,1,18,2019
5041,Adults,9/10/2019,13293.0,39.65775,54.147290000000005,2/15/2018,9,10,2019,2,15,2018
5054,Adults,9/10/2019,14211.0,38.65775,55.147290000000005,2/22/2018,9,10,2019,2,22,2018
5072,Adults,9/10/2019,31777.0,39.65775,54.147290000000005,3/1/2018,9,10,2019,3,1,2018
5087,Adults,9/10/2019,21603.0,38.65775,55.147290000000005,3/8/2018,9,10,2019,3,8,2018
5095,Adults,9/10/2019,10089.0,40.65775,53.147290000000005,1/18/2019,9,10,2019,1,18,2019
5104,Adults,9/10/2019,18255.0,40.65775,53.147290000000005,3/15/2018,9,10,2019,3,15,2018
5117,Adults,9/10/2019,55372.0,39.65775,53.147290000000005,3/23/2018,9,10,2019,3,23,2018
5133,Adults,9/10/2019,14468.0,40.65775,54.147290000000005,3/29/2018,9,10,2019,3,29,2018
5146,Adults,9/10/2019,14018.0,39.65775,54.147290000000005,4/5/2018,9,10,2019,4,5,2018
5155,Adults,9/10/2019,10533.0,39.65775,54.147290000000005,1/18/2019,9,10,2019,1,18,2019
5159,Adults,9/10/2019,16160.0,40.65775,53.147290000000005,4/12/2018,9,10,2019,4,12,2018
5176,Adults,9/10/2019,18398.0,40.65775,53.147290000000005,4/19/2018,9,10,2019,4,19,2018
5208,Adults,9/10/2019,14946.0,41.65775,52.147290000000005,5/3/2018,9,10,2019,5,3,2018
5241,Adults,9/10/2019,10167.0,40.65775,53.147290000000005,1/18/2019,9,10,2019,1,18,2019
5251,Adults,9/10/2019,20556.0,41.65775,51.147290000000005,5/17/2018,9,10,2019,5,17,2018
5271,Adults,9/10/2019,13793.0,41.65775,52.147290000000005,5/24/2018,9,10,2019,5,24,2018
5289,Adults,9/10/2019,13531.0,41.65775,51.147290000000005,5/31/2018,9,10,2019,5,31,2018
5311,Adults,9/10/2019,29493.0,41.65775,52.147290000000005,6/7/2018,9,10,2019,6,7,2018
5322,Adults,9/10/2019,10077.0,40.65775,52.147290000000005,1/18/2019,9,10,2019,1,18,2019
5329,Adults,9/10/2019,13747.0,41.65775,51.147290000000005,6/14/2018,9,10,2019,6,14,2018
5357,Adults,9/10/2019,11652.0,40.65775,53.147290000000005,6/21/2018,9,10,2019,6,21,2018
5375,Adults,9/10/2019,10304.0,40.65775,53.147290000000005,6/28/2018,9,10,2019,6,28,2018
5398,Adults,9/10/2019,15759.0,42.65775,51.147290000000005,7/5/2018,9,10,2019,7,5,2018
5408,Adults,9/10/2019,52211.0,41.65775,52.147290000000005,11/16/2018,9,10,2019,11,16,2018
5413,Adults,9/10/2019,13972.0,41.65775,52.147290000000005,7/12/2018,9,10,2019,7,12,2018
5435,Adults,9/10/2019,10522.0,40.65775,53.147290000000005,7/19/2018,9,10,2019,7,19,2018
5439,Adults,9/10/2019,15995.0,39.87178,54.99599,1/8/2019,9,10,2019,1,8,2019
5452,Adults,9/10/2019,52211.0,41.65775,52.147290000000005,7/30/2018,9,10,2019,7,30,2018
5478,Adults,9/10/2019,14198.0,40.65775,53.147290000000005,8/2/2018,9,10,2019,8,2,2018
5496,Adults,9/10/2019,17962.0,40.65775,53.147290000000005,8/9/2018,9,10,2019,8,9,2018
5518,Adults,9/10/2019,11023.0,41.65775,51.147290000000005,8/16/2018,9,10,2019,8,16,2018
5541,Adults,9/10/2019,15141.0,40.65775,53.147290000000005,8/23/2018,9,10,2019,8,23,2018
5561,Adults,9/10/2019,14089.0,40.65775,54.147290000000005,8/30/2018,9,10,2019,8,30,2018
5605,Adults,9/10/2019,15408.0,39.65775,54.147290000000005,9/13/2018,9,10,2019,9,13,2018
5624,Adults,9/10/2019,20492.0,40.65775,53.147290000000005,9/20/2018,9,10,2019,9,20,2018
5644,Adults,9/10/2019,10792.0,40.65775,53.147290000000005,9/27/2018,9,10,2019,9,27,2018
5667,Adults,9/10/2019,12953.0,43.65775,50.147290000000005,10/4/2018,9,10,2019,10,4,2018
5674,Adults,9/10/2019,10683.0,39.230579999999996,57.842580000000005,10/15/2018,9,10,2019,10,15,2018
5692,Adults,9/10/2019,10474.0,43.65775,50.147290000000005,10/11/2018,9,10,2019,10,11,2018
5758,Adults,9/10/2019,17797.0,40.65775,53.147290000000005,11/1/2018,9,10,2019,11,1,2018
5781,Adults,9/10/2019,14021.0,41.65775,52.147290000000005,11/8/2018,9,10,2019,11,8,2018
5866,Adults,9/10/2019,10286.0,42.65775,51.147290000000005,1/18/2019,9,10,2019,1,18,2019
5958,Adults,9/10/2019,10447.0,40.65775,54.147290000000005,1/18/2019,9,10,2019,1,18,2019
6090,Adults,9/10/2019,13206.0,40.37178,54.49599,4/16/2019,9,10,2019,4,16,2019
6124,Adults,9/10/2019,10046.0,43.65775,50.147290000000005,3/21/2019,9,10,2019,3,21,2019
6275,Adults,9/10/2019,10170.0,41.230579999999996,55.842580000000005,6/19/2019,9,10,2019,6,19,2019
6606,Voters,9/10/2019,11243.0,44.5942,51.59175,11/28/2018,9,10,2019,11,28,2018
6638,Voters,9/10/2019,11097.0,44.5942,51.59175,3/17/2017,9,10,2019,3,17,2017
6660,Voters,9/10/2019,11249.0,41.5942,54.59175,3/24/2017,9,10,2019,3,24,2017
6675,Voters,9/10/2019,10800.0,40.5942,54.59175,4/3/2017,9,10,2019,4,3,2017
6694,Voters,9/10/2019,13135.0,40.5942,53.59175,4/7/2017,9,10,2019,4,7,2017
6707,Voters,9/10/2019,18001.0,43.5942,51.59175,4/14/2017,9,10,2019,4,14,2017
6725,Voters,9/10/2019,13301.0,43.5942,51.59175,11/28/2018,9,10,2019,11,28,2018
6747,Voters,9/10/2019,13661.0,44.5942,50.59175,4/28/2017,9,10,2019,4,28,2017
6833,Voters,9/10/2019,10068.0,40.5942,54.59175,6/2/2017,9,10,2019,6,2,2017
6851,Voters,9/10/2019,11438.0,40.5942,54.59175,6/9/2017,9,10,2019,6,9,2017
6868,Voters,9/10/2019,15165.0,42.5942,52.59175,6/16/2017,9,10,2019,6,16,2017
6884,Voters,9/10/2019,12093.0,42.5942,52.59175,6/23/2017,9,10,2019,6,23,2017
6918,Voters,9/10/2019,11066.0,43.5942,52.59175,7/7/2017,9,10,2019,7,7,2017
6932,Voters,9/10/2019,14652.0,41.5942,53.59175,7/14/2017,9,10,2019,7,14,2017
6983,Voters,9/10/2019,10915.0,38.5942,56.59175,8/4/2017,9,10,2019,8,4,2017
7002,Voters,9/10/2019,12603.0,40.5942,54.59175,8/11/2017,9,10,2019,8,11,2017
7020,Voters,9/10/2019,13085.0,39.5942,55.59175,8/18/2017,9,10,2019,8,18,2017
7056,Voters,9/10/2019,10549.0,39.5942,55.59175,9/1/2017,9,10,2019,9,1,2017
7072,Voters,9/10/2019,11810.0,39.5942,54.59175,9/8/2017,9,10,2019,9,8,2017
7092,Voters,9/10/2019,14282.0,41.5942,52.59175,9/15/2017,9,10,2019,9,15,2017
7130,Voters,9/10/2019,14691.0,39.5942,55.59175,9/29/2017,9,10,2019,9,29,2017
7147,Voters,9/10/2019,13417.0,41.5942,54.59175,10/5/2017,9,10,2019,10,5,2017
7160,Voters,9/10/2019,14370.0,40.5942,54.59175,10/12/2017,9,10,2019,10,12,2017
7181,Voters,9/10/2019,13016.0,38.5942,57.59175,10/19/2017,9,10,2019,10,19,2017
7198,Voters,9/10/2019,11961.0,38.5942,56.59175,10/26/2017,9,10,2019,10,26,2017
7216,Voters,9/10/2019,11801.0,39.5942,55.59175,11/2/2017,9,10,2019,11,2,2017
7233,Voters,9/10/2019,16659.0,39.5942,55.59175,11/9/2017,9,10,2019,11,9,2017
7283,Voters,9/10/2019,12258.0,37.5942,57.59175,11/30/2017,9,10,2019,11,30,2017
7300,Voters,9/10/2019,14055.0,38.5942,56.59175,12/7/2017,9,10,2019,12,7,2017
7319,Voters,9/10/2019,10090.0,38.5942,56.59175,12/14/2017,9,10,2019,12,14,2017
7363,Voters,9/10/2019,10705.0,43.5942,51.59175,11/28/2018,9,10,2019,11,28,2018
7392,Voters,9/10/2019,11842.0,41.5942,53.59175,1/18/2018,9,10,2019,1,18,2018
7420,Voters,9/10/2019,12368.0,38.5942,56.59175,1/25/2018,9,10,2019,1,25,2018
7439,Voters,9/10/2019,14534.0,43.5942,52.59175,2/1/2018,9,10,2019,2,1,2018
7458,Voters,9/10/2019,16067.0,42.5942,52.59175,2/8/2018,9,10,2019,2,8,2018
7477,Voters,9/10/2019,11832.0,41.5942,53.59175,2/15/2018,9,10,2019,2,15,2018
7497,Voters,9/10/2019,12641.0,41.5942,53.59175,2/22/2018,9,10,2019,2,22,2018
7519,Voters,9/10/2019,28452.0,41.5942,53.59175,3/1/2018,9,10,2019,3,1,2018
7535,Voters,9/10/2019,19193.0,40.5942,54.59175,3/8/2018,9,10,2019,3,8,2018
7554,Voters,9/10/2019,16065.0,43.5942,51.59175,3/15/2018,9,10,2019,3,15,2018
7571,Voters,9/10/2019,48442.0,42.5942,52.59175,3/23/2018,9,10,2019,3,23,2018
7591,Voters,9/10/2019,12629.0,42.5942,52.59175,3/29/2018,9,10,2019,3,29,2018
7609,Voters,9/10/2019,12318.0,42.5942,52.59175,4/5/2018,9,10,2019,4,5,2018
7626,Voters,9/10/2019,14150.0,42.5942,52.59175,4/12/2018,9,10,2019,4,12,2018
7646,Voters,9/10/2019,15823.0,43.5942,51.59175,4/19/2018,9,10,2019,4,19,2018
7683,Voters,9/10/2019,13033.0,44.5942,50.59175,5/3/2018,9,10,2019,5,3,2018
7718,Voters,9/10/2019,17617.0,43.5942,51.59175,5/17/2018,9,10,2019,5,17,2018
7734,Voters,9/10/2019,11888.0,43.5942,50.59175,5/24/2018,9,10,2019,5,24,2018
7755,Voters,9/10/2019,11682.0,44.5942,50.59175,5/31/2018,9,10,2019,5,31,2018
7772,Voters,9/10/2019,25618.0,43.5942,51.59175,6/7/2018,9,10,2019,6,7,2018
7790,Voters,9/10/2019,12044.0,44.5942,50.59175,6/14/2018,9,10,2019,6,14,2018
7811,Voters,9/10/2019,10276.0,43.5942,51.59175,6/21/2018,9,10,2019,6,21,2018
7851,Voters,9/10/2019,13733.0,45.5942,49.59175,7/5/2018,9,10,2019,7,5,2018
7873,Voters,9/10/2019,12373.0,43.5942,51.59175,7/12/2018,9,10,2019,7,12,2018
7901,Voters,9/10/2019,12771.0,41.843579999999996,54.86684,2/13/2019,9,10,2019,2,13,2019
7949,Voters,9/10/2019,12538.0,43.5942,52.59175,8/2/2018,9,10,2019,8,2,2018
7976,Voters,9/10/2019,15937.0,42.5942,52.59175,8/9/2018,9,10,2019,8,9,2018
8024,Voters,9/10/2019,13260.0,41.5942,53.59175,8/23/2018,9,10,2019,8,23,2018
8055,Voters,9/10/2019,12261.0,42.5942,53.59175,8/30/2018,9,10,2019,8,30,2018
8114,Voters,9/10/2019,13561.0,41.5942,53.59175,9/13/2018,9,10,2019,9,13,2018
8141,Voters,9/10/2019,17730.0,43.5942,51.59175,9/20/2018,9,10,2019,9,20,2018
8196,Voters,9/10/2019,11443.0,46.5942,48.59175,10/4/2018,9,10,2019,10,4,2018
8309,Voters,9/10/2019,15988.0,42.5942,52.59175,11/1/2018,9,10,2019,11,1,2018
8340,Voters,9/10/2019,12438.0,43.5942,51.59175,11/8/2018,9,10,2019,11,8,2018
8651,Voters,9/10/2019,19909.0,40.843579999999996,54.86684,2/14/2019,9,10,2019,2,14,2019
9354,Voters,9/10/2019,13553.0,45.5942,49.59175,7/19/2019,9,10,2019,7,19,2019
